file,pitname,datetime,x_utm13n,y_utm13n,depth_m,density_kgm3
2017-02-23/PIT_87W/pit_20170223_87W.xlsx,87W,2017-02-23 11:30:00,249320.0,4329831.0,1.61,350.5
2017-02-23/PIT_89W/pit_20170223_89W.xlsx,89W,2017-02-23 09:35:00,248798.0,4330240.0,1.33,317.0
2017-02-23/PIT_89W/pit_20170223_89W_Continue.xlsx,89W_Continue,2017-02-23 10:02:00,249725.0,4328970.0,1.81,329.5
2017-02-23/PIT_93E/pit_20170223_93E.xlsx,93E,2017-02-23 13:50:00,250211.0,4327635.0,1.61,312.7
2017-02-23/PIT_O41/pit_20170223_O41.xlsx,O41,2017-02-23 13:43:00,261100.0,4198309.0,1.95,318.1
2017-02-23/PIT_O42/pit_20170223_O42.xlsx,O42,2017-02-23 11:42:00,260600.0,4198755.0,2.27,307.5
2017-02-24/PIT_MTR4_0000/pit_20170224_MTR4_0000.xlsx,MTR4_0000,2017-02-24 10:15:00,237440.7,4324490.4,1.80,319.0
2017-02-24/PIT_MTR4_3000/pit_20170224_MTR4_3000.xlsx,MTR4_3000,2017-02-24 10:08:00,237401.1,4324498.0,1.65,307.7
2017-02-24/PIT_SPL3/pit_20170224_SPL3.xlsx,SPL3,2017-02-24 11:30:00,261788.0,4196932.0,1.06,nan
2017-02-25/PIT_14W/pit_20170225_14W.xlsx,14W,2017-02-25 09:38:00,224130.9,4322027.9,0.88,313.8
2017-02-25/PIT_18S/pit_20170225_18S.xlsx,18S,2017-02-25 10:50:00,224808.4,4321951.1,1.41,343.3
2017-02-25/PIT_22N/pit_20170225_22N.xlsx,22N,2017-02-25 12:38:00,226010.9,4323189.8,1.32,324.9
2017-02-25/PIT_24E/pit_20170225_24E.xlsx,24E,2017-02-25 09:32:00,226194.0,4324792.5,1.41,321.3
2017-02-25/PIT_28S/pit_20170225_28S.xlsx,28S,2017-02-25 11:00:00,228294.0,4322821.5,1.42,339.4
